"","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq","Model"
"95",0.000842483906288771,0.000567523168055837,0.0738085697547838,0.000374838544845931,0.0982982299049368,0.000106427581627626,0.616669619002903,"PALSAR & Dry SR"
"96",0.00111271257527528,0.000582157447018957,0.0758452120098178,0.000383648158920092,0.100835406025254,0.000112287333170031,0.59669931541505,"PALSAR & Wet SR"
"97",0.00106567825925516,0.000544680016801374,0.0707852664716057,0.000360117451131996,0.0943442204832558,9.76515582286175e-05,0.647004169594007,"PALSAR & Wet+Dry SR"
"98",0.00116897941737972,0.000544626959259602,0.0706500197906866,0.000360932323585256,0.0943362550581671,9.81467620825896e-05,0.646976961831201,"All"
"99",0.000902622314114227,0.000591392268362616,0.0773340416630175,0.000387823263167377,0.102432708105293,0.000114038405018964,0.583950802867182,"Wet SR"
"100",0.000878631291737132,0.000596023983046902,0.0778621537948143,0.000391373245008283,0.10323468000039,0.000115758333952199,0.57747183979607,"Wet SR+VI"
"101",-0.000137974054972847,0.00064200986899995,0.0837080676974362,0.000422603495414089,0.111195750099975,0.000132753081620416,0.510928843379265,"Wet VI"
"102",0.000570250641640842,0.000575580047474853,0.0749081205970784,0.000379802417971668,0.0996916964072074,0.000108745481908258,0.606138131295388,"Dry SR"
"103",0.000481124083365019,0.00057984172075768,0.0754223323803516,0.000382875813093593,0.100429336757136,0.000110985957846947,0.600810065043414,"Dry SR+VI"
"104",-2.64694159609831e-06,0.00060963117802343,0.0791845822387942,0.000403273649777574,0.105587697688731,0.000124736346261023,0.561544784039592,"Dry VI"
"105",0.00108526919386013,0.000545483378245311,0.0708291873022569,0.000361046309043827,0.0944835762619555,9.82890741770571e-05,0.645872209233875,"Dry & Wet SR"
"106",0.00103057827389319,0.000546955777086856,0.0710089145937728,0.000362090168318579,0.094737967220091,9.88690786716979e-05,0.643970306410933,"Dry & Wet SR+VI"
"107",0.000171531549354676,0.000592381534473297,0.0771123917844016,0.00039075945209483,0.102600214731041,0.000114538483768356,0.583668246342561,"Dry & Wet VI"
"108",0.000385820209272434,0.000809709450084634,0.109466665377801,0.000506138351581991,0.140241646471858,0.000178949575766223,0.238585869151245,"PALSAR"
"109",0.000878478319066457,0.000567601781916145,0.0738263354430228,0.000374843704152467,0.0983121603140878,0.000106399131605562,0.616563147786414,"PALSAR & Dry SR"
"110",0.00114103006485062,0.000582419425337109,0.0758774978462641,0.00038383569034157,0.10088109404212,0.000112277540210395,0.596330798517433,"PALSAR & Wet SR"
"111",0.00105667371621772,0.000544679275450256,0.0707956529941521,0.000360047375902312,0.0943439908074002,9.76494864952704e-05,0.646997854351637,"PALSAR & Wet+Dry SR"
"112",0.00116142286097319,0.000544471324619923,0.0706509528712223,0.000360690530266696,0.0943092079545605,9.78093960161278e-05,0.647178998885585,"All"
"113",0.000856327380234331,0.000591532205355447,0.0773706403636011,0.000387789837700151,0.102456546765263,0.000114076186112344,0.583752020303766,"Wet SR"
"114",0.000842339802384435,0.000595645534321778,0.0778005947117721,0.000391202486662495,0.103168832628182,0.000115647326430951,0.577990368245398,"Wet SR+VI"
